Video ID,Views,Likes,Comments,Duration
xv5i-uSDXPk,93298,8182,93,PT1H52M41S
bD6m_x4JTRg,153699,10350,67,PT4H16M56S
89tBEFC_mMo,160755,11372,97,PT4H8M30S
Npo9zslfLDg,213726,13978,97,PT5H58M31S
yfCw28seJmc,195778,13135,85,PT4H20M27S
4aJTZ7SwBiI,262127,18199,144,PT3H30M55S
vOLkYCpBwbc,102659,10883,109,PT40M46S
DZjOXbxJQSI,340268,24789,217,PT4H3M52S
WCvia0nPP2A,407872,32462,779,PT10M55S
AQ6hhiLfj6A,371347,24513,200,PT4H12M11S
VR6vPEPMX4Q,163195,9680,181,PT37S
94rCfIQC4K8,377872,37071,781,PT10M28S
rG4T9KXBdK0,418675,22282,211,PT4H38M9S
ewpS3AWHDIo,413889,24347,127,PT4H59M37S
7y2vqxJVJ6k,622684,38828,178,PT5H40M38S
mbxeiNnLICQ,342736,23254,177,PT4H43M41S
OH9JBWLYjaU,390170,29776,454,PT4H26M53S
UMwgMk1aWPw,409218,32706,662,PT9M53S
qmltrYiP_bs,262827,18560,187,PT2H11M14S
_q2a5_KdCGg,147533,11515,121,PT3H2M2S
xS7l1ohpz4I,146156,11992,104,PT4H1M1S
h_swWDMqRuk,148339,11326,72,PT3H27M16S
f7P1ZvyUu1s,174182,11857,148,PT6H38M46S
pOxmSaZ0Da4,200389,15460,160,PT3H59M26S
GnhBCd9tLt4,165104,13695,189,PT3H16M30S
xuzi5OKlSJw,138216,12144,168,PT3H45M6S
Kg1raQh-tjg,196790,13851,125,PT5H6M58S
8FK6qjb2StM,297427,35339,1096,PT18M44S
3zJ2R4ktUsM,196310,14658,305,PT5H25S
PIo31n6ZCzI,171488,12277,181,PT5H42M25S
kyqG5EVwPac,1122166,94830,1739,PT29M1S
xRX_0gq2MRY,118057,8149,159,PT3H7M4S
vB5ia9FzQQE,151376,11824,174,PT5H45M40S
z9IaviabWk8,44565,3110,80,PT26S
9DCMx6WIGtk,132107,10168,229,PT5H20M2S
3wQz9Uny4x4,113126,7781,144,PT4H23M16S
Vs8ZgpuJUS4,116278,8660,164,PT4H37M49S
vGjg5KrpFRE,125047,8571,144,PT4H26M24S
-_HBHnaWrOM,126076,9355,182,PT3H23M6S
iamwaQcqGpw,147439,12131,191,PT4H19M7S
MB1L8GRLWL8,152793,13415,260,PT4H38M5S
3ntQWnvt1S0,145472,11055,260,PT4H19M54S
DLEWUetQXj4,123978,9809,262,PT4H34M41S
JZ5_RRi-VkY,110789,9458,131,PT5H37S
YoVf4GzFers,106279,8549,137,PT4H58M35S
otG8u1RXX_Q,109836,8093,185,PT3H46M8S
Rq4X1DH-6dA,1295827,56799,148,PT1M4S
6pd1NEmVbMI,153248,12992,129,PT4H57M17S
fQkPjLB9Wcc,131582,10935,142,PT4H50M7S
i6U6z6oYvcs,162113,13081,144,PT5H24M51S
q-MWtdoeZMo,112936,11996,132,PT5H3M53S
-JEDbCUrrAo,96615,8148,133,PT4H48M48S
tixFZ431RhQ,126624,11815,99,PT5H29M45S
9-vi_jiV1Jk,117049,10912,127,PT4H42M6S
ejYd38YdiDQ,79713,5623,79,PT5H26M16S
0vrF1d7tyqM,111447,8735,61,PT5H3M30S
7cVItz4NV10,75998,5723,64,PT5H23M45S
GdgCZ3Tq-wM,559415,42441,1445,PT14M25S
5rxJHWLyC80,123770,9000,103,PT6H39M50S
aBHb5FyJphs,151539,9945,90,PT6H49M11S
iGWHr0sysKM,161535,7114,116,PT11S
NvW8Njx0cPc,156488,8795,127,PT2H45M33S
5FJ-o_7XWAI,174986,11386,138,PT3H26M29S
FZQr962X-Y0,183062,14627,93,PT2H59M
hhjMXa1Qr4E,148735,11166,110,PT2H59M37S
6Z4wme7K3DE,197201,14239,178,PT3H22M50S
2a6J8vuP2XU,307203,22246,220,PT6H51M35S
nOcc_Zgf2Ok,281859,20930,205,PT6H37M37S
njgLAnhme8g,319762,20333,153,PT6H42M24S
pma0exy9geQ,304898,23607,271,PT7H11M52S
zrcX2L_7O-g,303689,31749,308,PT6H52M37S
mMZfNiEYA4I,303845,20220,358,PT6H51M8S
jf5XJFR-RWY,301165,22031,207,PT7H19M29S
koHUwcBkC4w,209090,13811,191,PT4H12M38S
_rYCnj5SAZg,235841,17111,176,PT4H41M38S
r3WKF2g2Gbo,163591,11654,139,PT3H38M29S
NNBeHrug0Uw,176905,17038,151,PT3H22M25S
tU2f4MpqA_A,192701,13712,138,PT4H13M35S
zO7K87ij8Z0,162723,15054,138,PT4H11M29S
q2wXp_cX1WA,144718,11178,127,PT2H56M37S
F0hxmQYOSws,233276,18034,525,PT11M31S
BvAFAEo_gc4,188249,13234,145,PT3H44M13S
qmr3efdEOSI,287142,19422,331,PT5H21M54S
dKEz0d7QAGI,212220,13532,216,PT5H8M5S
9fX7LODKrXg,0,0,0,P0D
cNBinHDdkFI,125080,10901,112,PT1H57M53S
0c3M_cwECVU,190807,12141,160,PT3H59M36S
ChcuSzdILXQ,298100,24343,424,PT19M48S
VxYu5EC-Y6c,196939,14062,250,PT5H14M43S
maT_o_QwfTo,231381,16185,481,PT4H52M17S
Zq6OBTyFvVY,199870,12699,428,PT6H59M25S
o5F-UXt6Pmw,173942,11523,266,PT4H46M49S
xwjiSZk9X1E,144120,10701,180,PT4H8M11S
-f3ojOz4ad4,117588,8870,161,PT3H33M36S
JXa_lqJOAlQ,152917,11355,223,PT3H48M9S
tmF-hbtApiM,150064,10838,165,PT3H55M37S
K54kcu0Viw8,137655,9928,213,PT4H18M51S
m14HJMSNX84,144052,8624,305,PT2H35M3S
cS7CcAW3Mkw,197777,12786,146,PT4H23M27S
r8-3Ao_GBn0,141419,9707,107,PT5H30M21S
Bj0wNjRuKuk,360213,17824,551,PT49M45S
CUJ4RZKsfrs,119832,10321,366,PT9M30S
wgcNrC6GA0E,163269,10444,173,PT4H17M16S
6n__1z9LsUU,179494,12105,131,PT4H45M23S
-4sn9G8XwNU,239229,11964,72,PT5H33M56S
EFbASYt-bbg,183536,10623,64,PT4H50M41S
woKdDaXnubY,213060,12924,93,PT3H50M46S
__Kq75hZGPA,411230,31433,502,PT8M22S
4QumcN025pU,171000,9509,142,PT6H2M3S
p-OUUu6W6mg,229270,14022,120,PT3H58M48S
EbgyYptfR14,284074,20261,210,PT4H29M50S
lUgNZuoHqto,151379,10366,117,PT4H15M55S
EyxZvnZSMgE,107279,7965,71,PT1H48M30S
xFV0fG5rETg,289614,18513,198,PT5H10M22S
labbNaAac24,367788,24398,328,PT5H44M35S
ud298cGLZQ0,141091,10245,196,PT4H23M12S
8qrLeIZhcWs,120243,8862,362,PT3H12M59S
P4GelUQ-06M,125588,10619,185,PT3H6M19S
e4V8hzpsFoY,148029,10479,245,PT3H58M30S
-r5k15dnduw,103708,8418,113,PT3H21M5S
EMcaS0mbNqw,113061,9596,121,PT3H1M48S
IHaPPMTPVoY,116337,9841,113,PT4H57M15S
Xc7JzpiVvbY,125792,8798,102,PT3H37M9S
VslpnCn1wcA,146723,10948,102,PT8H39M12S
9lXnTeps9I8,448285,34454,1339,PT11M26S
YPPstTXx6o0,96549,7494,100,PT6H36M29S
c5EXx75pHtc,112095,11914,149,PT2H51M50S
WpYTJLV8GTo,247552,21838,536,PT8M44S
-6MwdT1p1Kw,111863,8797,154,PT7H54M11S
I32-7W0ldEg,490458,36362,1103,PT13M17S
hhcFMJxbth4,58653,5606,56,PT2H55M18S
ybai1gxJAE0,308152,29190,1003,PT12M47S
PkmSkgjbUlA,83232,7878,127,PT3H45M11S
wO-2TCh8zNE,106435,10767,218,PT3H14M46S
u3zjFylddBE,138683,10759,130,PT5H10M30S
Smdvf2JwywQ,139628,18824,745,PT1H5M39S
CzXH7HEZXXw,77335,6660,76,PT1H41M56S
-ZcI1KIwzIA,169449,22716,1040,PT26M34S
UDpx6dkd23Q,203968,15250,534,PT8H13M43S
VekfCgkZZXM,90183,7837,90,PT2H21M57S
jkCgz6G78I0,117390,12276,383,PT8M38S
pphhUw-gqks,391434,35753,652,PT8M22S
ApTsw6gZmGA,160187,12414,120,PT4H45M19S
3hMRgkcXuBA,148195,12331,161,PT4H11M52S
QIpnFFB7wu8,193728,24420,1265,PT1H18M39S
tg4848nvZJ0,179313,20333,662,PT12M17S
4_NNxsOxAXg,93775,10282,269,PT1H58M12S
nm__JHUoJMs,132349,12557,151,PT2H54M53S
